2024-01-01.png: 626 outliers, Category: Extreme Deviation
2024-01-02.png: 0 outliers, Category: Normal
2024-01-03.png: 0 outliers, Category: Normal
2024-01-04.png: 0 outliers, Category: Normal
2024-01-05.png: 42 outliers, Category: Moderate Deviation
2024-01-06.png: 0 outliers, Category: Normal
2024-01-07.png: 7 outliers, Category: Low Deviation
2024-01-08.png: 175 outliers, Category: Extreme Deviation
2024-01-09.png: 65 outliers, Category: High Deviation
2024-01-10.png: 0 outliers, Category: Normal
2024-01-11.png: 69 outliers, Category: High Deviation
2024-01-12.png: 92 outliers, Category: High Deviation
2024-01-13.png: 108 outliers, Category: Extreme Deviation
2024-01-14.png: 0 outliers, Category: Normal
2024-01-15.png: 0 outliers, Category: Normal
2024-01-16.png: 523 outliers, Category: Extreme Deviation
2024-01-17.png: 0 outliers, Category: Normal
2024-01-18.png: 43 outliers, Category: Moderate Deviation
2024-01-19.png: 175 outliers, Category: Extreme Deviation
2024-01-20.png: 91 outliers, Category: High Deviation
2024-01-21.png: 0 outliers, Category: Normal
2024-01-22.png: 689 outliers, Category: Extreme Deviation
2024-01-23.png: 54 outliers, Category: High Deviation
2024-01-24.png: 0 outliers, Category: Normal
2024-01-25.png: 53 outliers, Category: High Deviation
2024-01-26.png: 0 outliers, Category: Normal
2024-01-27.png: 182 outliers, Category: Extreme Deviation
2024-01-28.png: 40 outliers, Category: Moderate Deviation
2024-01-29.png: 96 outliers, Category: High Deviation
2024-01-30.png: 0 outliers, Category: Normal
2024-01-31.png: 0 outliers, Category: Normal
2024-02-01.png: 0 outliers, Category: Normal
2024-02-02.png: 0 outliers, Category: Normal
2024-02-03.png: 0 outliers, Category: Normal
2024-02-04.png: 0 outliers, Category: Normal
2024-02-05.png: 37 outliers, Category: Moderate Deviation
2024-02-06.png: 0 outliers, Category: Normal
2024-02-07.png: 0 outliers, Category: Normal
2024-02-08.png: 19 outliers, Category: Moderate Deviation
2024-02-09.png: 68 outliers, Category: High Deviation
2024-02-10.png: 0 outliers, Category: Normal
2024-02-11.png: 12 outliers, Category: Moderate Deviation
2024-02-12.png: 18 outliers, Category: Moderate Deviation
2024-02-13.png: 0 outliers, Category: Normal
2024-02-14.png: 41 outliers, Category: Moderate Deviation
2024-02-15.png: 19 outliers, Category: Moderate Deviation
2024-02-16.png: 0 outliers, Category: Normal
2024-02-17.png: 0 outliers, Category: Normal
2024-02-18.png: 0 outliers, Category: Normal
2024-02-19.png: 0 outliers, Category: Normal
2024-02-20.png: 0 outliers, Category: Normal
2024-02-21.png: 0 outliers, Category: Normal
2024-02-22.png: 178 outliers, Category: Extreme Deviation
2024-02-23.png: 128 outliers, Category: Extreme Deviation
2024-02-24.png: 92 outliers, Category: High Deviation
2024-02-25.png: 0 outliers, Category: Normal
2024-02-26.png: 0 outliers, Category: Normal
2024-02-27.png: 2 outliers, Category: Low Deviation
2024-02-28.png: 0 outliers, Category: Normal
2024-02-29.png: 0 outliers, Category: Normal
2024-03-01.png: 79 outliers, Category: High Deviation
2024-03-02.png: 33 outliers, Category: Moderate Deviation
2024-03-03.png: 147 outliers, Category: Extreme Deviation
2024-03-04.png: 55 outliers, Category: High Deviation
2024-03-05.png: 0 outliers, Category: Normal
2024-03-06.png: 0 outliers, Category: Normal
2024-03-07.png: 31 outliers, Category: Moderate Deviation
2024-03-08.png: 0 outliers, Category: Normal
2024-03-09.png: 0 outliers, Category: Normal
2024-03-10.png: 2 outliers, Category: Low Deviation
2024-03-11.png: 64 outliers, Category: High Deviation
2024-03-12.png: 1 outliers, Category: Low Deviation
2024-03-13.png: 4 outliers, Category: Low Deviation
2024-03-14.png: 256 outliers, Category: Extreme Deviation
2024-03-15.png: 47 outliers, Category: Moderate Deviation
2024-03-16.png: 0 outliers, Category: Normal
2024-03-17.png: 0 outliers, Category: Normal
2024-03-18.png: 0 outliers, Category: Normal
2024-03-19.png: 22 outliers, Category: Moderate Deviation
2024-03-20.png: 0 outliers, Category: Normal
2024-03-21.png: 35 outliers, Category: Moderate Deviation
2024-03-22.png: 251 outliers, Category: Extreme Deviation
2024-03-23.png: 324 outliers, Category: Extreme Deviation
2024-03-24.png: 0 outliers, Category: Normal
2024-03-25.png: 3 outliers, Category: Low Deviation
2024-03-26.png: 0 outliers, Category: Normal
2024-03-27.png: 173 outliers, Category: Extreme Deviation
2024-03-28.png: 0 outliers, Category: Normal
2024-03-29.png: 390 outliers, Category: Extreme Deviation
2024-03-30.png: 136 outliers, Category: Extreme Deviation
2024-03-31.png: 0 outliers, Category: Normal
2024-04-01.png: 19 outliers, Category: Moderate Deviation
2024-04-02.png: 117 outliers, Category: Extreme Deviation
2024-04-03.png: 643 outliers, Category: Extreme Deviation
2024-04-04.png: 63 outliers, Category: High Deviation
2024-04-05.png: 209 outliers, Category: Extreme Deviation
2024-04-06.png: 68 outliers, Category: High Deviation
2024-04-07.png: 0 outliers, Category: Normal
2024-04-08.png: 46 outliers, Category: Moderate Deviation
2024-04-09.png: 160 outliers, Category: Extreme Deviation
2024-04-10.png: 1 outliers, Category: Low Deviation
2024-04-11.png: 1 outliers, Category: Low Deviation
2024-04-12.png: 0 outliers, Category: Normal
2024-04-13.png: 647 outliers, Category: Extreme Deviation
2024-04-14.png: 329 outliers, Category: Extreme Deviation
2024-04-15.png: 1 outliers, Category: Low Deviation
2024-04-16.png: 0 outliers, Category: Normal
2024-04-17.png: 125 outliers, Category: Extreme Deviation
2024-04-18.png: 178 outliers, Category: Extreme Deviation
2024-04-19.png: 58 outliers, Category: High Deviation
2024-04-20.png: 0 outliers, Category: Normal
2024-04-21.png: 24 outliers, Category: Moderate Deviation
2024-04-22.png: 194 outliers, Category: Extreme Deviation
2024-04-23.png: 61 outliers, Category: High Deviation
2024-04-24.png: 43 outliers, Category: Moderate Deviation
2024-04-25.png: 58 outliers, Category: High Deviation
2024-04-26.png: 22 outliers, Category: Moderate Deviation
2024-04-27.png: 115 outliers, Category: Extreme Deviation
2024-04-28.png: 31 outliers, Category: Moderate Deviation
2024-04-29.png: 54 outliers, Category: High Deviation
2024-04-30.png: 25 outliers, Category: Moderate Deviation
2024-05-01.png: 53 outliers, Category: High Deviation
2024-05-02.png: 24 outliers, Category: Moderate Deviation
2024-05-03.png: 38 outliers, Category: Moderate Deviation
2024-05-04.png: 22 outliers, Category: Moderate Deviation
2024-05-05.png: 60 outliers, Category: High Deviation
2024-05-06.png: 68 outliers, Category: High Deviation
2024-05-07.png: 96 outliers, Category: High Deviation
2024-05-08.png: 95 outliers, Category: High Deviation
2024-05-09.png: 27 outliers, Category: Moderate Deviation
2024-05-10.png: 80 outliers, Category: High Deviation
2024-05-11.png: 23 outliers, Category: Moderate Deviation
2024-05-12.png: 119 outliers, Category: Extreme Deviation
2024-05-13.png: 3 outliers, Category: Low Deviation
2024-05-14.png: 1 outliers, Category: Low Deviation
2024-05-15.png: 51 outliers, Category: High Deviation
2024-05-16.png: 10 outliers, Category: Low Deviation
2024-05-17.png: 36 outliers, Category: Moderate Deviation
2024-05-18.png: 24 outliers, Category: Moderate Deviation
2024-05-19.png: 94 outliers, Category: High Deviation
2024-05-20.png: 94 outliers, Category: High Deviation
2024-05-21.png: 16 outliers, Category: Moderate Deviation
2024-05-22.png: 11 outliers, Category: Moderate Deviation
2024-05-23.png: 28 outliers, Category: Moderate Deviation
2024-05-24.png: 28 outliers, Category: Moderate Deviation
2024-05-25.png: 44 outliers, Category: Moderate Deviation
2024-05-26.png: 181 outliers, Category: Extreme Deviation
2024-05-27.png: 11 outliers, Category: Moderate Deviation
2024-05-28.png: 81 outliers, Category: High Deviation
2024-05-29.png: 85 outliers, Category: High Deviation
2024-05-30.png: 99 outliers, Category: High Deviation
2024-05-31.png: 126 outliers, Category: Extreme Deviation
2024-06-01.png: 133 outliers, Category: Extreme Deviation
2024-06-02.png: 270 outliers, Category: Extreme Deviation
2024-06-03.png: 43 outliers, Category: Moderate Deviation
2024-06-04.png: 0 outliers, Category: Normal
2024-06-05.png: 0 outliers, Category: Normal
2024-06-06.png: 10 outliers, Category: Low Deviation
2024-06-07.png: 30 outliers, Category: Moderate Deviation
2024-06-08.png: 7 outliers, Category: Low Deviation
2024-06-09.png: 118 outliers, Category: Extreme Deviation
2024-06-10.png: 1 outliers, Category: Low Deviation
2024-06-11.png: 333 outliers, Category: Extreme Deviation
2024-06-12.png: 93 outliers, Category: High Deviation
2024-06-13.png: 99 outliers, Category: High Deviation
2024-06-14.png: 95 outliers, Category: High Deviation
2024-06-15.png: 26 outliers, Category: Moderate Deviation
2024-06-16.png: 147 outliers, Category: Extreme Deviation
2024-06-17.png: 111 outliers, Category: Extreme Deviation
2024-06-18.png: 161 outliers, Category: Extreme Deviation
2024-06-19.png: 122 outliers, Category: Extreme Deviation
2024-06-20.png: 79 outliers, Category: High Deviation
2024-06-21.png: 18 outliers, Category: Moderate Deviation
2024-06-22.png: 55 outliers, Category: High Deviation
2024-06-23.png: 44 outliers, Category: Moderate Deviation
2024-06-24.png: 56 outliers, Category: High Deviation
2024-06-25.png: 23 outliers, Category: Moderate Deviation
2024-06-26.png: 33 outliers, Category: Moderate Deviation
2024-06-27.png: 19 outliers, Category: Moderate Deviation
2024-06-28.png: 369 outliers, Category: Extreme Deviation
2024-06-29.png: 45 outliers, Category: Moderate Deviation
2024-06-30.png: 25 outliers, Category: Moderate Deviation
2024-07-01.png: 212 outliers, Category: Extreme Deviation
2024-07-02.png: 57 outliers, Category: High Deviation
2024-07-03.png: 4 outliers, Category: Low Deviation
2024-07-04.png: 27 outliers, Category: Moderate Deviation
2024-07-05.png: 1 outliers, Category: Low Deviation
2024-07-06.png: 302 outliers, Category: Extreme Deviation
2024-07-07.png: 127 outliers, Category: Extreme Deviation
2024-07-08.png: 10 outliers, Category: Low Deviation
2024-07-09.png: 26 outliers, Category: Moderate Deviation
2024-07-10.png: 276 outliers, Category: Extreme Deviation
2024-07-11.png: 346 outliers, Category: Extreme Deviation
2024-07-12.png: 129 outliers, Category: Extreme Deviation
2024-07-13.png: 23 outliers, Category: Moderate Deviation
